Bottle,Price,Rating,Region,apple,banana,cherry,citrus,fruity,lemon,orange,pear,raisins,zest,balanced,complex,dry,earthy,heavy,light,lingering,mellow,mild,old,smooth,barley,buttery,butterscotch,candy,chocolate,cinnamon,cocoa,corn,honey,tea,toffee,clove,coffee,floral,licorice,malty,mint,nutmeg,peaty,peppery,roses,spices,sugar,tobacco,vanilla,wood,sherry,bitter,brine,creamy,ginger,herbal,maple,nutty,oak,rich,salty,smokey,sour,spicy,sweet,amber,brown,green,caramel,pal
Balvenie 12 Single Barrel First Fill,67.33333333333333,85.06666666666666,Speyside,2.0,4.0,2.0,,1.0,,,,,,,,,,,2.0,,,,4.0,,,,,,,2.0,,,2.0,,8.0,,,,,,,1.0,,,,,1.0,,8.0,,,9.0,,,,,,,2.0,4.0,,,,,13.0,2.0,,,,
Balvenie 14 Caribbean Cask,58.102745098039215,84.7625,Speyside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balvenie 14 Golden Cask,75.0,87.5,Speyside,,,,,,,2.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,2.0,,,4.0,,,,,,,4.0,,,,,,,,,2.0,,
Balvenie 15 Single Barrel,80.1304347826087,88.06382978723404,Speyside,7.0,4.0,2.0,4.0,1.0,,16.0,,2.0,,1.0,2.0,,,,,2.0,3.0,,,,,1.0,1.0,,4.0,5.0,4.0,1.0,13.0,4.0,2.0,,1.0,4.0,,,,1.0,,,1.0,4.0,4.0,,13.0,,7.0,,,2.0,1.0,1.0,2.0,,3.0,,2.0,,3.0,,7.0,,4.0,2.0,6.0,
Balvenie 15 Single Barrel Sherry Cask,40.5,88.16666666666667,Speyside,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,8.0,,,,,,2.0,2.0,2.0,,,,,,6.0,,2.0,,,
Balvenie 17 Doublewood,92.97666666666667,86.3529411764706,Speyside,,,,,,,2.0,,,,,,4.0,,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,4.0,4.0,2.0,,,,,,6.0,4.0,,,,,,,,,,,
Balvenie 17 Madeira Cask,97.33333333333333,88.45454545454545,Speyside,1.0,,,,,1.0,2.0,1.0,,,,,5.0,,,2.0,,,,3.0,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,4.0,,,,2.0,,,,,,,,1.0,,,,,,5.0,,8.0,2.0,,
Balvenie 17 Peated Cask,85.90222222222222,89.41176470588235,Speyside,,,,,,,2.0,,,,,,2.0,,,9.0,,,,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,1.0,
Balvenie 21 Portwood,148.08555555555554,88.36666666666666,Speyside,,,,,,,,,2.0,,,2.0,,,2.0,,,,,,3.0,,1.0,1.0,,3.0,1.0,1.0,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,3.0,,5.0,,,3.0,1.0,,,,4.0,,,,,5.0,3.0,,,,2.0,
Balvenie Tun 1401 Batch #3,246.66666666666666,91.72727272727273,Speyside,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,2.0,,,,3.0,,5.0,,,3.0,,,,,,,,,,,2.0,,5.0,,2.0,,,,,,,,,,,2.0,,,,,,
